Time,Month,Plot,Diversity,Disturbance,Treatment,Depth,cor_ofi,clad_rup,ulv_com,osm_hyb,osm_pin,cha_lin,rho_sp,pol_elo,cer_nod,ulv_lac,bon_ham,dum_cor,gas_ova,hal_sil,chy_ver,cal_sp,cod_fra,cho_cri,gel_cri,dic_dic,fuc_juv,fuc_ser,rhi_rip,him_elo,pol_fuc,lom_art,ect_sp,por_sp,cla_spo,cal_jub,gel_pul,ela_fuc,ahn_pli,cyst_tam,sar_mut,fuc_spir,ala_esc,lea_dif,lam_juv,mes_lic,hil_sp,eud_vir,ulv_int,scy_lom,cla_pel,cer_ech,hal_flo,ulo_sp,der_mar,apo_rus,bry_sp,plo_car,pol_rot,pte_par,fur_lum,plu_plu,lit_sp
1.0,May ,30,+PGL,Yes,+PGL Dist,4.5,67.1875,6.25,0.0,25.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,3.125,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1.0,May ,31,-P,No,-P,4.0,75.0,56.25,12.5,1.5625,1.5625,0.0,0.0,3.125,0.0,1.0,0.0,21.875,0.0,0.0,0.0,0.0,0.0,6.25,6.25,0.0,0.0,0.0,7.8125,1.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125
1.0,May ,32,-P,Yes,-P Dist,5.0,68.75,14.0625,14.0625,17.1875,0.0,0.0,3.125,3.125,0.0,0.0,0.0,25.0,0.0,0.0,1.5625,0.0,0.0,4.6875,4.6875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
1.0,May ,33,-L,Yes,-L Dist,5.5,71.875,3.125,3.125,3.125,7.8125,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9375
1.0,May ,34,-PGL,Yes,-PGL Dist,7.0,70.3125,1.5625,0.0,1.5625,1.5625,0.0,1.0,15.625,3.125,1.0,0.0,3.125,6.25,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9375
1.0,May ,35,-G,No,-G,5.0,75.0,3.125,0.0,21.875,0.0,1.5625,1.5625,23.4375,0.0,0.0,0.0,0.0,0.0,0.0,4.6875,0.0,1.5625,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9375
1.0,May ,36,-G,No,-G,3.0,71.875,6.25,0.0,17.1875,4.6875,0.0,0.0,1.5625,0.0,6.25,0.0,14.0625,0.0,0.0,3.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.625
1.0,May ,37,+PGL,No,+PGL,2.5,65.625,15.625,6.25,26.5625,17.1875,0.0,0.0,3.125,1.5625,7.8125,0.0,39.0625,0.0,0.0,0.0,0.0,0.0,7.8125,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.625
1.0,May ,38,-L,No,-L,4.0,57.8125,7.8125,0.0,12.5,0.0,0.0,0.0,3.125,0.0,1.0,0.0,23.4375,0.0,0.0,0.0,0.0,0.0,0.0,7.8125,0.0,0.0,26.5625,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.125
1.0,May ,39,-P,Yes,-P Dist,8.0,89.0625,3.125,0.0,4.6875,4.6875,0.0,0.0,12.5,6.25,0.0,0.0,10.9375,0.0,0.0,0.0,0.0,0.0,0.0,7.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9375
1.0,May ,40,-PGL,No,-PGL,2.5,85.9375,34.375,3.125,17.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,7.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1.0,May ,41,CONTROL ,Yes,CONTROL Dist,5.0,60.9375,12.5,6.25,6.25,6.25,0.0,0.0,4.6875,0.0,0.0,0.0,0.0,4.6875,0.0,6.25,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.875
1.0,May ,42,CONTROL ,Yes,CONTROL Dist,4.0,93.75,7.8125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.125,10.9375,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,12.5
1.0,May ,43,CONTROL ,No,CONTROL ,5.5,71.875,4.6875,0.0,25.0,4.6875,0.0,0.0,0.0,0.0,1.0,12.5,4.6875,1.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,14.0625,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3125
1.0,May ,44,CONTROL ,No,CONTROL ,4.0,95.3125,1.5625,0.0,3.125,6.25,0.0,0.0,1.5625,0.0,1.0,0.0,26.5625,0.0,0.0,0.0,0.0,0.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0625
1.0,May ,45,CONTROL ,Yes,CONTROL Dist,3.0,93.75,7.8125,0.0,7.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8125,0.0,0.0,0.0,7.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8125
1.0,May ,46,CONTROL ,No,CONTROL ,6.5,96.875,23.4375,10.9375,10.9375,3.125,0.0,0.0,7.8125,3.125,6.25,0.0,7.8125,1.5625,0.0,0.0,0.0,0.0,0.0,4.6875,0.0,0.0,7.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8125
1.0,May ,47,CONTROL ,No,CONTROL ,4.0,93.75,21.875,0.0,0.0,1.5625,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6875
1.0,May ,48,CONTROL ,Yes,CONTROL Dist,6.0,78.125,32.8125,0.0,3.125,1.5625,0.0,0.0,4.6875,1.0,1.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75
2.0,June,1,-L,Yes,-L Dist,7.0,67.1875,6.25,4.6875,1.5625,0.0,0.0,1.5625,9.375,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6875
2.0,June,2,-L,No,-L,6.0,82.8125,3.125,0.0,10.9375,4.6875,0.0,0.0,12.5,10.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.375
